"Question"," réponse","categorie","sous_theme","source"
"quelle document sont il necessaire pour payer mes frais d'inscription","un quitus delivrée par l'intendance ","Inscription","Document requis","service administratif"
"c'est quoi le quitus","le quitus est un document contenant des information tel que le niveau ou tu souhaite t'inscrire, la somme que tu devras verser pour l'inscription, la filiere chosis","Inscription","Document requis","service administratif"
"de combien s'eleve les frais de scolarité","les frais de scolarite so variables dependant du cycles( licence ou master)","Inscription","Document requis","service administratif"
"de combien s'eleve les frais de scolarité du cycle licence","les frais de scolarite du cycles licence s'eleve a 525000FCFA","Inscription","Document requis","service administratif"
"de combien s'eleve les frais de scolarité du cycle Master","les frais de scolarite du cycles licence s'eleve a 625000FCFA","Inscription","Document requis","service administratif"
"les frais sont il les meme pour les ingenieurs et inspecteur","oui les frais sont pareil pour les filiere , la difference ce trouve uniquement au niveau cycle","Inscription","Document requis","service administratif"
"Où dois-je payer mes frais d’inscription ?","Tu dois les régler directement à la Campost  ","Inscription","Document requis","service administratif"
"C'est quoi la campost","la campost est une banque partenaire de L'ecole qui sert de lieu ou les  etudiant iront pour payer leurs frais de scolarite","","","service administratif"
"Quel document prouve que j’ai payé mes frais d’inscription ?","Le reçu de paiement, que tu dois joindre à ton dossier pour valider ton inscription.","Inscription","Document requis","service administratif"
"Que se passe-t-il si je ne paie pas mes frais d’inscription ?","Ton inscription est bloquée, même si tu as réussi le concours.","Inscription","Document requis","service administratif"
"À quoi sert la quittance des frais de concours ?","Elle prouve que tu as payé tes droits d’examen et permet d’accepter ton dossier au concours.","Inscription","Document requis","service administratif"
"Quelle est la différence entre la quittance de concours et le reçu d’inscription ?","La quittance concerne le concours, le reçu d’inscription confirme ton admission académique.","Inscription","Document requis","service administratif"
"Quand dois-je payer mes frais de scolarité ?","Juste après ton admission, avant le début des cours.","Inscription","Document requis","service administratif"
"Que dois-je vérifier sur mon reçu de paiement ?","Qu’il porte bien ton nom, ton cycle et le montant exact payé.","Inscription","Document requis","service administratif"
"Est-ce que je peux payer mes frais en ligne ?","Non, le paiement se fait directement à la Campost.","Inscription","Document requis","service administratif"
