ID;Catégorie;Question
1;Conditions d'admission;Quelles sont les conditions pour intégrer SUP'PTIC ?
2;Conditions d'admission;Quels sont les critères académiques pour le cycle ingénieur ?
3;Conditions d'admission;Quels diplômes sont acceptés pour l'admission en première année ?
4;Conditions d'admission;Faut-il avoir un baccalauréat scientifique pour postuler ?
5;Conditions d'admission;Existe-t-il une limite d'âge pour l'inscription ?
6;Conditions d'admission;Quel est le niveau minimum requis en mathématiques ?
7;Conditions d'admission;Les diplômes étrangers sont-ils reconnus pour l'admission ?
8;Conditions d'admission;Quels sont les prérequis pour le master professionnel ?
9;Conditions d'admission;Peut-on s'inscrire avec un BTS ?
10;Conditions d'admission;Quelles sont les conditions spécifiques pour les techniciens supérieurs ?
11;Procédure en ligne/sur place;Comment s'inscrire en ligne à SUP'PTIC ?
12;Procédure en ligne/sur place;Quelles sont les étapes détaillées de la procédure d'inscription ?
13;Procédure en ligne/sur place;Sur quelle plateforme se font les préinscriptions ?
14;Procédure en ligne/sur place;Quels sont les délais pour soumettre son dossier de candidature ?
15;Procédure en ligne/sur place;Peut-on s'inscrire directement sur le campus de Yaoundé ?
16;Procédure en ligne/sur place;Comment savoir si ma candidature en ligne a été validée ?
17;Procédure en ligne/sur place;Que faire si je rencontre un problème sur la plateforme d'inscription ?
18;Procédure en ligne/sur place;Y a-t-il un calendrier précis pour les admissions cette année ?
19;Procédure en ligne/sur place;Quand se clôturent les inscriptions pour le concours ?
20;Procédure en ligne/sur place;Comment suivre l'évolution de mon dossier ?
21;Documents requis;Quelle est la liste exhaustive des pièces à fournir ?
22;Documents requis;Sous quel format faut-il uploader les documents en ligne ?
23;Documents requis;Les photocopies des diplômes doivent-elles être légalisées ?
24;Documents requis;Où peut-on faire légaliser les documents requis ?
25;Documents requis;Faut-il fournir un certificat médical ?
26;Documents requis;Combien de photos d'identité sont nécessaires ?
27;Documents requis;Doit-on fournir un extrait d'acte de naissance original ?
28;Documents requis;Le relevé de notes du bac est-il obligatoire ?
29;Documents requis;Que faire s'il me manque un document le jour du dépôt ?
30;Documents requis;Faut-il une enveloppe timbrée dans le dossier physique ?
31;Frais et paiements;Quel est le montant des frais d'inscription au concours ?
32;Frais et paiements;Quelles sont les modalités de paiement des frais de scolarité ?
33;Frais et paiements;Peut-on payer la scolarité en plusieurs tranches ?
34;Frais et paiements;Quel est l'échéancier pour les paiements ?
35;Frais et paiements;Existe-t-il des bourses d'études pour les nouveaux étudiants ?
36;Frais et paiements;Comment obtenir une réduction sur les frais de scolarité ?
37;Frais et paiements;Quels sont les modes de paiement acceptés (banque, mobile money) ?
38;Frais et paiements;Les frais de concours sont-ils remboursables ?
39;Frais et paiements;À combien s'élèvent les frais de scolarité pour le cycle ingénieur ?
40;Frais et paiements;Y a-t-il des frais supplémentaires pour l'assurance étudiante ?
41;Réinscription et cas particuliers;Quelle est la procédure de réinscription pour les anciens ?
