Question                                                                                            , Reponse                                                                                                                                                                                                   , Categorie                                                                                           , SousTheme                                                          , Source
Quand SUP'PTIC a-t-elle été créée ?                                                                 , SUP'PTIC a été créée le 3 octobre 1969 sous le nom d'Ecole Fédérale des Postes et Télécommunications.                                                                                                     , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Quel était le nom initial de SUP'PTIC ?                                                             , À sa création l'école était dénommée Ecole Fédérale des Postes et Télécommunications.                                                                                                                     , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Quand l'école a-t-elle changé de nom pour devenir Ecole Nationale des Postes et Télécommunications ?, Le 14 octobre 1982 l'institution a été renommée Ecole Nationale des Postes et Télécommunications.                                                                                                         , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Quand l'école a-t-elle été réorganisée ?                                                            , L'école a été réorganisée en 1992 suivant le décret No 92/050 du 24 mars 1992.                                                                                                                            , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Quel est le nom actuel complet de l'école ?                                                         , L'Ecole Nationale Supérieure des Postes des Télécommunications et des Technologies de l'Information et de la Communication (SUP'PTIC).                                                                    , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Quand SUP'PTIC a-t-elle obtenu sa dénomination actuelle ?                                           , En 2016 grâce au décret présidentiel N°2016/425 du 26 octobre 2016.                                                                                                                                       , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Pourquoi le nom de l'école a-t-il évolué en 2016 ?                                                  , Pour refléter le développement des nouvelles technologies de l'information de la communication et de l'économie numérique.                                                                                , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Combien d'années d'existence SUP'PTIC a-t-elle ?                                                    , SUP'PTIC a 56 années d'existence.                                                                                                                                                                         , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/
Quel type d'établissement est SUP'PTIC ?                                                            , SUP'PTIC est un établissement d'enseignement professionnel et technique.                                                                                                                                  , Introduction                                                                                        , Historique de l'établissement                                      , https://e-supptic.cm/a-propos-de-nous/
Quelle est la mission principale de SUP'PTIC ?                                                      , Former des techniciens et cadres supérieurs en postes télécommunications et TIC assurer la formation continue et mener la recherche appliquée.                                                            , Introduction                                                                                        , Missions de l'établissement                                        , https://e-supptic.cm/a-propos-de-nous/
Quelles sont les tutelles de SUP'PTIC ?                                                             , SUP'PTIC a une triple tutelle : technique (MINPOSTEL) académique (MINESUP) et financière (MINFI).                                                                                                         , Introduction                                                                                        , Structure organisationnelle                                        , https://e-supptic.cm/a-propos-de-nous/
