"Question"                                                                                         , "Reponse"                                                                                                                                                                                                   , "Categorie"             , "SousTheme"                , "Source"
"Quelles sont les deux grandes branches de formation proposées à SUP'PTIC ?"                       , "SUP'PTIC propose deux grandes branches de formation : l'Ingénierie (télécommunications et technologies) et le Management (postes et télécommunications)."                                                  , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/"
"Combien de campus SUP'PTIC possède-t-il et où sont-ils situés ?"                                  , "SUP'PTIC possède 2 campus : un à Yaoundé (campus principal) et un à Buea (annexe)."                                                                                                                        , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/"
"Quelles formations en ingénierie sont offertes sur le campus de Buea ?"                           , "Le campus de Buea offre deux formations : Agent Technique des Télécommunications et Technicien des Télécommunications."                                                                                    , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/"
"Quelle est la durée de formation pour devenir Agent Technique des Télécommunications ?"           , "La formation d'Agent Technique des Télécommunications dure 1 an."                                                                                                                                          , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/"
"Quel est le niveau requis pour accéder à la formation d'Agent Technique des Télécommunications ?" , "Le niveau requis est le Probatoire scientifique."                                                                                                                                                          , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/"
"Quelle est la durée de formation pour devenir Technicien des Télécommunications ?"                , "La formation de Technicien des Télécommunications dure 2 ans."                                                                                                                                             , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/"
"Quels sont les prérequis pour intégrer la formation de Technicien des Télécommunications ?"       , "Il faut avoir un Baccalauréat scientifique ou un diplôme d'agent technique des télécommunications."                                                                                                        , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/"
"Quelles sont les principales missions d'un Agent Technique des Télécommunications ?"              , "L'agent technique installe le matériel de télécommunications électrique électronique et électromécanique sur site ou en atelier."                                                                          , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-technicien-des-telecommunications/"
"Quelles compétences doit avoir un Technicien des Télécommunications selon SUP'PTIC ?"             , "Le technicien doit avoir un esprit d'analyse et diagnostic technique la mobilité l'autonomie la précision et la rapidité d'exécution et idéalement maîtriser l'anglais."                                   , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/agents-techniques-techniciens-des-telecommunications/"
"Quel diplôme obtient-on après le premier cycle d'ingénierie à Yaoundé ?"                          , "On obtient le diplôme d'Ingénieur des Travaux de Télécommunications après 3 ans de formation."                                                                                                             , "Programmes académiques", "Présentation des filières", "À vérifier auprès de SUP'PTIC - https://e-supptic.cm/ingenieur-des-travaux-de-telecommunications/"
