Catégorie,Question,Réponse
I. Cadre Général et Système LMD,Quel est le système d'enseignement en vigueur à
SUP'PTIC ?,"Le système LM (Licence, Master)."
I. Cadre Général et Système LMD,Qu'est-ce qu'une UE ?,"Une Unité d'Enseignement, composée d'une ou plusieurs matières."
I. Cadre Général et Système LMD,Qu'est-ce qu'un EC ?,Un Elément Constitutif d'une Unité d'Enseignement.
I. Cadre Général et Système LMD,Quelle est la valeur en crédits d'un semestre
normal ?,30 crédits.
I. Cadre Général et Système LMD,Combien de crédits faut-il pour valider une année
académique ?,60 crédits,mais on va en classe supérieure avec 42 crédits au-moins.
I. Cadre Général et Système LMD,Qui préside le jury des examens ?,Le Directeur de l'école ou son représentant.
I. Cadre Général et Système LMD,Quelle est la note de passage minimale pour
valider une UE sans compensation ?,10/20 pour certaines matières et 12/20 pour d'autres.
I. Cadre Général et Système LMD,Qu'est-ce que la capitalisation ?,C'est le fait de conserver définitivement les crédits d'une UE validée.
I. Cadre Général et Système LMD,Peut-on reprendre une UE déjà validée pour
augmenter sa moyenne ?,"Non, une UE validée est définitivement acquise."
I. Cadre Général et Système LMD,Qu'est-ce que le GPA (Grade Point Average) ?,La moyenne pondérée des notes sur une échelle (généralement de 0 à 4 où un peu plus).
I. Cadre Général et Système LMD,Comment est calculée la moyenne d'une UE ?,Par la moyenne pondérée des notes des EC qui la composent.
I. Cadre Général et Système LMD,Quel est le rôle de la scolarité dans les
examens ?,"Organiser la logistique, l'anonymat, la régularité du paiement des frais scolaires et la publication des résultats."
I. Cadre Général et Système LMD,Les crédits de SUP'PTIC sont-ils
transférables ?,"Oui, vers d'autres institutions suivant le système LM."
I. Cadre Général et Système LMD,Combien de sessions d'examens y a-t-il par
semestre ?,Deux : la session normale et la session de rattrapage.
I. Cadre Général et Système LMD,Qui établit le calendrier des examens ?,La Direction des Études.
II. Contrôle Continu (CC) et Travaux Pratiques,Le Contrôle Continu est-il
obligatoire ?,"Oui, pour toutes les matières en cas d'absence la matière est complètement non validé même ayant fait la session normale."
II. Contrôle Continu (CC) et Travaux Pratiques,Quel est le poids du CC dans la note
finale d'une UE ?,Généralement entre 30% et 40%.
II. Contrôle Continu (CC) et Travaux Pratiques,Sous quelle forme peut se présenter
un CC ?,"Devoir sur table, exposé, test surprise."
II. Contrôle Continu (CC) et Travaux Pratiques,Une absence non justifiée au CC
entraîne-t-elle quelle note ?,Aucune note.
II. Contrôle Continu (CC) et Travaux Pratiques,Les Travaux Pratiques (TP) comptent-
ils pour le CC ?,"Oui, ils font souvent partie intégrante de l'évaluation continue."
II. Contrôle Continu (CC) et Travaux Pratiques,Peut-on rattraper un CC
manqué ?,Uniquement si l'absence est justifiée par un motif médical ou de force majeure validé.
II. Contrôle Continu (CC) et Travaux Pratiques,Quelle est l'importance de
l'assiduité ?,Elle peut influencer la note de participation ou conditionner l'accès à l'examen.
II. Contrôle Continu (CC) et Travaux Pratiques,Est-ce que les projets de groupe sont
évalués en CC ?,"Oui, ils permettent d'évaluer les compétences collaboratives , souvent aussi utilisé lorsque les délais de dépôt des notes pressent."
II. Contrôle Continu (CC) et Travaux Pratiques,Quand sont publiés les notes de
CC ?,Avant le début des examens semestriels.
II. Contrôle Continu (CC) et Travaux Pratiques,Peut-on contester une note de
CC ?,"Oui, auprès de l'enseignant concerné dans un délai court après publication."
II. Contrôle Continu (CC) et Travaux Pratiques,Le CC est-il anonyme ?,"Non, généralement les copies de CC portent les noms des étudiants."
II. Contrôle Continu (CC) et Travaux Pratiques,Un étudiant peut-il être dispensé de
CC ?,"Non, sauf cas particuliers prévus par le règlement."
II. Contrôle Continu (CC) et Travaux Pratiques,Est-ce que le comportement en classe
compte dans le CC ?,"Dans certains modules, une note de ""participation"" peut être incluse."
II. Contrôle Continu (CC) et Travaux Pratiques,Les quiz en ligne sont-ils utilisés à
SUP'PTIC ?,pas encore.
II. Contrôle Continu (CC) et Travaux Pratiques,Quelle est la durée moyenne d'un CC
sur table ?,Entre 1h 30et 2h.
III. Déroulement des Examens Semestriels,Quel document est indispensable pour
entrer en salle d'examen ?,La carte d'étudiant (ou un récépissé d'inscription) et le reçu de paiement des frais d'inscription.
III. Déroulement des Examens Semestriels,Combien de temps avant le début de
l'épreuve doit-on arriver ?,15 minutes avant.
III. Déroulement des Examens Semestriels,Peut-on entrer en salle après le début de
l'épreuve ?,"Oui, mais généralement avec un retard maximum de 15 à 30 minutes, sans temps additionnel."
III. Déroulement des Examens Semestriels,L'anonymat est-il obligatoire pour les
examens finaux ?,"Oui, les copies sont codées avant correction."
III. Déroulement des Examens Semestriels,Quel type de stylo doit être utilisé ?,Stylo à bille bleu ou noir uniquement.
III. Déroulement des Examens Semestriels,L'usage de la calculatrice est-il
permis ?,Uniquement si cela est spécifié sur le sujet d'examen.
III. Déroulement des Examens Semestriels,Les téléphones portables sont-ils
autorisés ?,"Non, ils doivent être éteints et déposés à l'endroit indiqué."
III. Déroulement des Examens Semestriels,Que risque un étudiant en cas de flagrant
délit de fraude ?,L'exclusion immédiate et une comparution devant le conseil de discipline.
III. Déroulement des Examens Semestriels,Peut-on sortir de la salle avant la fin de
l'épreuve ?,"Oui, mais après un délai minimum (souvent 1h) et après avoir remis sa copie."
III. Déroulement des Examens Semestriels,Est-il permis de parler pendant
l'examen ?,"Absolument pas, toute communication est assimilée à une tentative de fraude."
III. Déroulement des Examens Semestriels,Qui surveille les examens ?,Les enseignants et le personnel administratif.
III. Déroulement des Examens Semestriels,Peut-on utiliser du brouillon
personnel ?,"Non, seul le brouillon fourni par l'école est autorisé."
III. Déroulement des Examens Semestriels,Que faire si le sujet comporte une
erreur ?,Signaler au surveillant qui en informera l'enseignant responsable.
III. Déroulement des Examens Semestriels,Le port de l'uniforme est-il exigé pendant
les examens ?,Non il faut juste être habillé et coiffé selon le règlement intérieur de l'école.
III. Déroulement des Examens Semestriels,"Peut-on prêter du matériel (gomme, règle)"
à un camarade ?,"Non, les échanges de matériel sont interdits en salle."
III. Déroulement des Examens Semestriels,Où sont affichées les listes de passage et
les salles ?,Sur les tableaux d'affichage de la scolarité et parfois en ligne et à l'entrée des salles de composition.
III. Déroulement des Examens Semestriels,Quelle est la durée d'une épreuve de
spécialité ?,Généralement 2 à 3 h.
III. Déroulement des Examens Semestriels,Comment sont gérées les copies
d'examen ?,"Ramassées, comptées, anonymées puis transmises aux correcteurs."
III. Déroulement des Examens Semestriels,L'étudiant doit-il émarger à la remise de sa
copie ?,"Oui, l'émargement est obligatoire pour prouver la présence."
III. Déroulement des Examens Semestriels,Peut-on garder le sujet d'examen ?,"Oui, sauf indication contraire."
IV. Rattrapages et Compensation,Qui va au rattrapage ?,L'étudiant n'ayant pas validé une UE (note < 10/20 ou 12/20 pour certaines matières) après la session normale.
IV. Rattrapages et Compensation,Est-ce que la note de CC est conservée au rattrapage
?,"Oui, elle est toujours prise en compte dans le calcul final."
IV. Rattrapages et Compensation,Quelle note est retenue après le
rattrapage ?,Généralement la meilleure note entre la session normale et le rattrapage (ou la note du rattrapage selon le règlement).
IV. Rattrapages et Compensation,Y a-t-il des frais pour passer le rattrapage ?,"Non, c'est un droit académique gratuit à SUP'PTIC."
IV. Rattrapages et Compensation,Qu'est-ce que la compensation ?,C'est valider une UE avec moins de 10/20 grâce aux bonnes notes obtenues dans d'autres UE du même semestre.
IV. Rattrapages et Compensation,Quelle est la note éliminatoire interdisant la
compensation ?,Souvent fixée à 07/20 ou 08/20 selon les UE.
IV. Rattrapages et Compensation,Peut-on compenser entre deux semestres
différents ?,"Non, la compensation se fait généralement au sein d'un même semestre."
IV. Rattrapages et Compensation,"Si j'échoue au rattrapage, que se passe-t-"
il ?,L'étudiant doit reprendre l'UE l'année suivante (crédits non validés).
IV. Rattrapages et Compensation,Le rattrapage concerne-t-il le CC ?,"Non, le rattrapage est un examen final uniquement."
IV. Rattrapages et Compensation,Combien de temps après les résultats normaux a lieu
le rattrapage ?,Environ 1 à 2 semaines après.
IV. Rattrapages et Compensation,Un étudiant peut-il refuser la compensation ?,"En théorie non, elle est automatique si les conditions sont remplies."
